Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,9h 55m,Economy,2738,JK,9W_2738_9W_415_,False,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,13h 20m,Economy,2738,JK,9W_2738_9W_483_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,14h 15m,Economy,2738,JK,9W_2738_9W_498_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,16h 0m,Economy,2738,JK,9W_2738_9W_477_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,17h 0m,Economy,2738,JK,9W_2738_9W_495_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,22h 20m,Economy,2738,JK,9W_2738_9W_381_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,13695.0,11350.0,1840.0,Jet Airways,6,25h 45m,Economy,913,9W,9W_913_9W_498_,True,2018-10-25
AMD,DEL,2018-11-02T15:35:00Z,15:35,17:15,18368.0,15200.0,2663.0,Jet Airways,4,5h 25m,Economy,655,9W,9W_655_9W_811_,False,2018-10-25
AMD,DEL,2018-11-02T07:10:00Z,07:10,08:45,24395.0,22850.0,1290.0,Air India,4,5h 20m,Economy,18,AI,AI_18_AI_506_,True,2018-10-25
AMD,BOM,2018-11-02T04:00:00Z,04:00,05:15,42151.0,39106.0,2665.0,Air India,9,5h 25m,Economy,30,AI,AI_30_9W_443_,True,2018-10-25
AMD,BOM,2018-11-02T04:00:00Z,04:00,05:15,42151.0,39106.0,2665.0,Air India,9,6h 15m,Economy,30,AI,AI_30_9W_397_,True,2018-10-25
Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BLR,2018-11-03T05:50:00Z,05:50,08:00,5661.0,5000.0,358.0,Spicejet,9,2h 10m,Economy,921,SG,SG_921_,False,2018-10-25
